feature,importance
text_198,0.0019396858
text_424,0.0019368071
text_338,0.0019305772
text_242,0.0019255665
text_551,0.0019251945
text_164,0.001912359
text_370,0.0019098136
text_80,0.001906062
text_17,0.0019050009
text_536,0.0019048577
text_550,0.001902201
text_21,0.001901967
text_2,0.0018979843
text_383,0.0018941809
text_380,0.0018894577
text_654,0.0018833234
text_667,0.0018820593
text_574,0.0018682829
text_644,0.0018677732
text_388,0.0018599535
text_333,0.0018533411
text_456,0.0018381923
text_172,0.001830117
text_143,0.0018238144
text_516,0.0018142276
text_642,0.0018138844
text_344,0.0018112654
text_386,0.0018106048
text_617,0.0018020386
text_155,0.0017918019
text_304,0.0017664382
text_666,0.0017660556
text_135,0.0017603318
text_203,0.0017563254
text_345,0.0017325885
text_27,0.001687122
text_231,0.0016851819
text_163,0.0016712392
text_645,0.0016667435
text_584,0.0016561893
text_97,0.0016378756
text_277,0.0016375924
text_98,0.0016344906
text_468,0.0016282954
text_348,0.0016115798
text_704,0.0016060752
text_113,0.0015964548
text_296,0.0015820818
text_737,0.0015720024
text_95,0.0015548462
text_328,0.0015530847
text_350,0.0015200644
text_597,0.0014930946
text_753,0.0014897895
text_363,0.0014745396
text_252,0.0014739798
text_234,0.0014698587
text_660,0.0014632334
text_415,0.0014512646
text_187,0.0014487482
text_739,0.0014360113
text_541,0.0014193313
text_156,0.0014154247
text_677,0.0014088384
text_723,0.0014000519
text_681,0.0013964695
text_569,0.0013859422
text_202,0.0013738174
text_280,0.0013719072
text_267,0.0013673083
text_440,0.0013586376
text_609,0.0013511686
text_552,0.0013370172
text_323,0.0013252386
text_519,0.0013043181
text_256,0.001301211
text_75,0.0012895435
text_318,0.0012782571
text_504,0.0012714535
text_615,0.0012633703
text_225,0.0012610983
text_538,0.001252629
text_410,0.0012405463
text_201,0.0012296558
text_614,0.0012169619
text_253,0.0011859615
text_199,0.0011769395
text_549,0.0011691556
text_87,0.0011419492
text_576,0.0011263464
text_266,0.0011001448
text_132,0.0010666877
text_268,0.0010562714
text_138,0.0010544482
text_29,0.0010540851
text_257,0.0010515385
text_249,0.0010483162
text_309,0.0010363605
text_101,0.00096827943
text_14,0.0009566686
text_721,0.0009550371
text_358,0.0009469205
text_393,0.000938144
text_245,0.00091416173
text_565,0.0009065357
text_588,0.00090499036
text_219,0.0009047278
text_462,0.0009030638
text_435,0.00088700507
text_747,0.0008800142
text_718,0.00085122196
text_212,0.00083370914
text_544,0.0008309688
text_690,0.00082421035
text_579,0.0008224034
text_169,0.00076871086
text_149,0.00076631823
text_302,0.0007537467
text_279,0.00073210365
text_557,0.00071333133
text_508,0.0006383893
text_602,0.0006331078
text_744,0.00061477907
text_469,0.00061357155
text_379,0.0005960841
text_564,0.0005686857
text_33,0.0005529528
text_636,0.00055063324
text_562,0.0005193051
text_82,0.0005080428
text_283,0.0005012205
text_221,0.0004982146
text_4,0.00047632592
text_439,0.00045910355
text_232,0.00045424077
text_361,0.00040276113
text_505,0.0003867986
text_760,0.0003075999
text_366,0.0003022801
text_68,0.0002960594
text_601,0.00025012108
text_558,0.00023642415
text_404,0.00018087712
text_764,0.00015834895
text_608,0.0001572281
text_604,0.0001426737
